 par_1      , par_2      , par_3      , par_4      , par_5      , f_value    
 +4.4756e+00, +0.0000e+00, +4.0000e+01, +4.7162e+01, +1.0000e+02, -1.8407e+05
 +3.9987e+00, +9.8330e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.8387e+05
 +6.0607e+00, +0.0000e+00, +4.0000e+01, +4.4431e+01, +9.9310e+01, -1.8312e+05
 +3.9987e+00, +1.2000e+01, +4.0000e+01, +5.0000e+01, +8.3860e+01, -1.8231e+05
 +0.0000e+00, +1.2000e+01, +4.0000e+01, +5.0000e+01, +7.8572e+01, -1.8216e+05
 +7.5034e+00, +0.0000e+00, +3.7394e+01, +4.2981e+01, +9.9555e+01, -1.8040e+05
 +1.0000e+01, +1.1805e+00, +3.3692e+01, +4.1806e+01, +1.0000e+02, -1.8014e+05
 +4.4409e-15, +9.9346e+00, +4.0000e+01, +5.0000e+01, +8.0077e+01, -1.7983e+05
 +8.6156e+00, +5.9924e-01, +3.4204e+01, +4.2592e+01, +9.9845e+01, -1.7843e+05
 +1.5031e-08, +7.7641e+00, +3.5466e+01, +5.0000e+01, +1.0000e+02, -1.7750e+05
 +6.8417e+00, +1.2000e+01, +3.9932e+01, +4.1830e+01, +1.0000e+02, -1.7747e+05
 +1.7146e+00, +1.2000e+01, +3.3219e+01, +5.0000e+01, +8.0359e+01, -1.7556e+05
 +3.2773e+00, +1.2000e+01, +4.0000e+01, +5.0000e+01, +6.7290e+01, -1.7533e+05
 +1.0000e+01, +3.5356e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.7514e+05
 +0.0000e+00, +0.0000e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.7362e+05
 +2.9805e+00, +1.2000e+01, +3.5476e+01, +5.0000e+01, +1.0000e+02, -1.7300e+05
 +7.1608e+00, +9.7685e+00, +2.8918e+01, +5.0000e+01, +1.0000e+02, -1.7234e+05
 +1.0000e+01, +9.8518e-01, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.7192e+05
 +4.0656e+00, +1.2000e+01, +2.7676e+01, +5.0000e+01, +8.6004e+01, -1.7083e+05
 +9.5170e+00, +9.3260e+00, +3.6936e+01, +4.9789e+01, +9.9702e+01, -1.6957e+05
 +1.0000e+01, +5.3562e+00, +3.1921e+01, +5.0000e+01, +1.0000e+02, -1.6954e+05
 +3.0105e-07, +1.2000e+01, +3.3019e+01, +5.0000e+01, +8.0027e+01, -1.6923e+05
 +8.0692e+00, +1.2000e+01, +2.4807e+01, +5.0000e+01, +1.0000e+02, -1.6893e+05
 +9.6353e+00, +8.3763e+00, +3.7721e+01, +5.0000e+01, +9.9221e+01, -1.6865e+05
 +7.0000e+00, +3.0283e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.6839e+05
 +4.3986e+00, +1.1164e+01, +3.1493e+01, +4.2428e+01, +9.7109e+01, -1.6792e+05
 +1.0000e+01, +9.7573e+00, +3.4846e+01, +4.8709e+01, +1.0000e+02, -1.6766e+05
 +5.8188e+00, +1.2000e+01, +2.7781e+01, +5.0000e+01, +1.0000e+02, -1.6736e+05
 +2.4694e-14, +1.6517e+00, +4.0000e+01, +4.5436e+01, +1.0000e+02, -1.6723e+05
 +1.0000e+01, +7.8585e+00, +4.0000e+01, +4.2657e+01, +1.0000e+02, -1.6695e+05
 +8.0957e+00, +1.1519e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.6694e+05
 +2.8835e+00, +1.0795e+01, +4.0000e+01, +5.0000e+01, +8.1790e+01, -1.6663e+05
 +8.5918e+00, +3.7169e+00, +3.4135e+01, +5.0000e+01, +1.0000e+02, -1.6588e+05
 +1.0000e+01, +1.0061e+01, +2.6878e+01, +5.0000e+01, +1.0000e+02, -1.6556e+05
 +5.3995e+00, +1.0431e+01, +4.0000e+01, +4.3520e+01, +9.7797e+01, -1.6470e+05
 +5.5973e-01, +1.2000e+01, +3.5193e+01, +5.0000e+01, +1.0000e+02, -1.6395e+05
 +7.2260e+00, +6.6812e+00, +3.3824e+01, +4.8921e+01, +1.0000e+02, -1.6348e+05
 +8.7236e+00, +6.4042e+00, +4.0000e+01, +5.0000e+01, +9.6411e+01, -1.6105e+05
 +1.0000e+01, +1.1648e+01, +4.0000e+01, +3.6259e+01, +1.0000e+02, -1.6004e+05
 +1.0000e+01, +1.2000e+01, +2.2665e+01, +5.0000e+01, +1.0000e+02, -1.6003e+05
 +1.0000e+01, +2.2501e+00, +3.3186e+01, +5.0000e+01, +1.0000e+02, -1.5986e+05
 +1.0000e+01, +4.8261e+00, +4.0000e+01, +4.0735e+01, +1.0000e+02, -1.5981e+05
 +8.3276e+00, +3.5904e+00, +4.0000e+01, +4.2939e+01, +9.9998e+01, -1.5943e+05
 +6.7425e+00, +4.4331e+00, +3.3614e+01, +5.0000e+01, +1.0000e+02, -1.5829e+05
 +5.0144e+00, +6.3397e+00, +3.3814e+01, +4.9091e+01, +1.0000e+02, -1.5741e+05
 +1.0000e+01, +2.3700e+00, +4.0000e+01, +4.0988e+01, +1.0000e+02, -1.5727e+05
 +7.2260e+00, +6.6812e+00, +4.0000e+01, +4.1807e+01, +1.0000e+02, -1.5660e+05
 +2.4983e+00, +5.2927e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.5649e+05
 +4.9896e+00, +7.1186e+00, +4.0000e+01, +4.7582e+01, +1.0000e+02, -1.5640e+05
 +7.9463e+00, +1.0581e+01, +3.2186e+01, +4.1618e+01, +1.0000e+02, -1.5528e+05
 +3.0280e+00, +8.5388e+00, +4.0000e+01, +4.8175e+01, +1.0000e+02, -1.5496e+05
 +1.0000e+01, +8.0460e+00, +3.2191e+01, +3.9991e+01, +1.0000e+02, -1.5472e+05
 +2.8627e+00, +8.6177e+00, +3.4417e+01, +4.9054e+01, +1.0000e+02, -1.5456e+05
 +6.5871e+00, +4.5101e+00, +4.0000e+01, +4.1656e+01, +1.0000e+02, -1.5455e+05
 +2.9737e+00, +1.0992e+01, +4.0000e+01, +4.4799e+01, +9.2638e+01, -1.5435e+05
 +2.3389e+00, +1.2000e+01, +2.6456e+01, +5.0000e+01, +1.0000e+02, -1.5375e+05
 +1.0000e+01, +0.0000e+00, +3.2653e+01, +5.0000e+01, +1.0000e+02, -1.5340e+05
 +0.0000e+00, +1.2000e+01, +4.0000e+01, +4.0434e+01, +1.0000e+02, -1.5339e+05
 +4.8430e+00, +1.2000e+01, +4.0000e+01, +5.0000e+01, +7.0329e+01, -1.5325e+05
 +1.0000e+01, +9.9198e+00, +3.3210e+01, +5.0000e+01, +8.7786e+01, -1.5271e+05
 +1.0000e+01, +5.8150e-16, +4.0000e+01, +4.0789e+01, +1.0000e+02, -1.5169e+05
 +0.0000e+00, +7.9185e+00, +4.0000e+01, +5.0000e+01, +1.0000e+02, -1.4869e+05
 +1.0000e+01, +1.2000e+01, +2.4284e+01, +4.3095e+01, +1.0000e+02, -1.4855e+05
 +4.9776e+00, +1.0673e+01, +3.5234e+01, +4.7799e+01, +8.5718e+01, -1.4558e+05
 +0.0000e+00, +1.2000e+01, +2.5804e+01, +5.0000e+01, +1.0000e+02, -1.4529e+05
 +0.0000e+00, +9.1414e+00, +4.0000e+01, +4.3022e+01, +1.0000e+02, -1.4223e+05
 +1.0000e+01, +3.5778e+00, +3.4015e+01, +3.7438e+01, +1.0000e+02, -1.4199e+05
 +1.0000e+01, +1.2263e+00, +4.0000e+01, +3.2390e+01, +1.0000e+02, -1.3921e+05
 +1.6570e-07, +4.7325e+00, +4.0000e+01, +4.6559e+01, +1.0000e+02, -1.3893e+05
 +5.8515e-14, +6.0695e+00, +4.0000e+01, +4.4145e+01, +1.0000e+02, -1.3820e+05
 +2.2079e+00, +3.3689e+00, +2.0834e+01, +4.0052e+01, +9.9776e+01, -1.3710e+05
 +7.3247e+00, +9.2213e+00, +2.0501e+01, +4.4031e+01, +7.9866e+01, -1.3628e+05
 +1.3072e+00, +1.2000e+01, +1.8223e+01, +5.0000e+01, +1.0000e+02, -1.3580e+05
 +7.5258e-01, +9.8361e+00, +2.8526e+01, +3.6901e+01, +8.7866e+01, -1.3204e+05
 +9.5155e+00, +5.0164e+00, +3.1159e+01, +4.6407e+01, +7.7199e+01, -1.3146e+05
 +2.9433e+00, +5.6312e+00, +3.9185e+01, +3.9278e+01, +8.5200e+01, -1.3076e+05
 +5.2719e+00, +1.2000e+01, +2.2446e+01, +4.7220e+01, +8.9121e+01, -1.2758e+05
 +7.5086e+00, +6.7869e+00, +3.5088e+01, +3.1337e+01, +7.6222e+01, -1.1958e+05
 +6.7732e+00, +4.5246e+00, +1.6738e+01, +3.2111e+01, +9.0798e+01, -1.1711e+05
 +8.3780e+00, +4.4754e+00, +3.2809e+00, +4.7218e+01, +9.4178e+01, -1.1642e+05
 +2.0102e-01, +5.1394e+00, +2.4764e+01, +2.4982e+01, +9.8799e+01, -1.1501e+05
 +1.4253e+00, +1.1086e+01, +4.0000e+01, +5.0000e+01, +7.2191e+01, -1.1245e+05
 +2.8256e-01, +1.1007e+01, +4.0000e+01, +5.0000e+01, +7.2011e+01, -1.0997e+05
 +4.0807e+00, +6.1722e+00, +2.7062e+01, +3.8467e+01, +6.8221e+01, -1.0911e+05
 +0.0000e+00, +8.5921e+00, +4.0000e+01, +5.0000e+01, +7.4267e+01, -1.0888e+05
 +6.9570e+00, +2.0902e+00, +3.1326e+01, +1.9418e+01, +8.7154e+01, -1.0888e+05
 +8.9833e-01, +1.0140e+01, +4.0000e+01, +5.0000e+01, +7.1565e+01, -1.0878e+05
 +8.7236e-01, +1.2000e+01, +4.0000e+01, +5.0000e+01, +6.7979e+01, -1.0602e+05
 +6.2715e+00, +1.9673e+00, +3.7721e+01, +4.0844e+01, +6.5554e+01, -1.0524e+05
 +2.3917e+00, +9.3447e-01, +3.5422e+01, +2.7358e+01, +9.6132e+01, -1.0212e+05
 +3.8487e-01, +2.7049e+00, +3.9351e+01, +1.2288e+01, +9.5155e+01, -9.9874e+04
 +5.5017e+00, +8.5574e+00, +3.9018e+01, +1.6267e+01, +7.5244e+01, -9.9254e+04
 +5.6872e-01, +2.7051e-01, +1.3939e+01, +4.9595e+01, +9.1511e+01, -9.8595e+04
 +5.3179e+00, +1.0992e+01, +2.4430e+01, +2.8961e+01, +7.8888e+01, -9.6757e+04
 +4.5825e+00, +8.7296e+00, +6.0801e+00, +2.9735e+01, +9.3465e+01, -9.5027e+04
 +2.0739e+00, +7.9427e+00, +3.0992e+01, +2.3397e+01, +6.7244e+01, -8.9152e+04
 +5.1340e+00, +1.4263e+00, +9.8426e+00, +4.1654e+01, +8.2533e+01, -8.7488e+04
 +2.6254e+00, +6.3935e-01, +3.4754e+01, +3.5317e+01, +5.6311e+01, -8.5877e+04
 +1.3883e+00, +7.8197e+00, +3.7387e+01, +4.4823e+01, +4.5643e+01, -8.3004e+04
 +1.8900e+00, +1.0377e+01, +1.6404e+01, +3.6091e+01, +7.0888e+01, -8.0588e+04
 +8.6460e+00, +7.3279e+00, +2.2966e+01, +3.0527e+01, +5.9243e+01, -8.0130e+04
 +9.1976e+00, +2.4615e-02, +2.6729e+01, +4.2447e+01, +4.8310e+01, -7.8648e+04
 +2.4416e+00, +3.0738e+00, +2.0167e+01, +4.8010e+01, +5.9955e+01, -7.8103e+04
 +8.8299e+00, +4.8935e+00, +3.7554e+01, +1.7833e+01, +5.5599e+01, -7.5289e+04
 +9.1477e+00, +9.8853e+00, +1.9837e+00, +2.1794e+01, +8.4487e+01, -7.4780e+04
 +6.4553e+00, +1.1533e+01, +1.2308e+01, +2.8150e+01, +6.1910e+01, -7.3813e+04
 +9.3316e+00, +7.4509e+00, +1.6571e+01, +9.1009e+00, +8.0843e+01, -7.3731e+04
 +8.1942e+00, +6.9099e+00, +2.8693e+01, +9.9115e+00, +9.7822e+01, -7.3472e+04
 +9.6993e+00, +2.5820e+00, +5.7463e+00, +3.3714e+01, +7.3555e+01, -7.2670e+04
 +4.9502e+00, +3.8607e+00, +3.5255e+01, +4.3478e+00, +8.6177e+01, -7.1709e+04
 +5.9536e+00, +8.9755e+00, +3.3290e+01, +3.6883e+01, +3.6665e+01, -7.0607e+04
 +2.5086e-01, +7.2787e+00, +9.5088e+00, +4.5634e+01, +6.2622e+01, -7.0221e+04
 +3.1271e+00, +3.1967e+00, +1.3772e+01, +2.6584e+01, +8.1555e+01, -6.9732e+04
 +7.1907e+00, +1.7951e+00, +3.0658e+01, +2.7377e+01, +4.7333e+01, -6.8498e+04
 +9.8832e+00, +1.4756e-01, +2.0334e+01, +2.1021e+01, +6.9911e+01, -6.8204e+04
 +2.5756e+00, +1.0500e+01, +1.0010e+01, +1.4665e+01, +9.2488e+01, -6.7827e+04
 +7.0069e+00, +4.2295e+00, +1.6071e+01, +4.0070e+01, +5.0977e+01, -6.5485e+04
 +4.7663e+00, +6.2951e+00, +2.0668e+01, +1.7041e+01, +8.9821e+01, -6.4222e+04
 +5.7697e+00, +1.1410e+01, +1.8703e+01, +4.9576e+01, +4.0310e+01, -6.3658e+04
 +1.7062e+00, +8.1152e-01, +1.8169e+00, +4.8784e+01, +7.4532e+01, -6.3656e+04
 +2.7594e+00, +8.0656e+00, +2.4597e+01, +1.9712e+00, +8.8844e+01, -6.0049e+04
 +6.6392e+00, +9.0984e+00, +2.6896e+01, +1.5457e+01, +5.8266e+01, -5.8533e+04
 +1.5223e+00, +3.2460e+00, +2.7229e+01, +1.1477e+01, +7.8176e+01, -5.8346e+04
 +3.9467e+00, +1.0746e+01, +3.7220e+01, +2.1813e+01, +3.5688e+01, -4.9746e+04
 +4.8161e+00, +8.4344e+00, +5.4125e+00, +3.7693e+01, +5.3644e+01, -4.7971e+04
 +7.8763e+00, +1.9180e+00, +2.4263e+01, +5.9506e+00, +6.8933e+01, -4.7819e+04
 +3.2113e+00, +8.4837e+00, +1.8870e+01, +2.2587e+01, +5.0265e+01, -4.6560e+04
 +3.5790e+00, +3.6148e+00, +8.0448e+00, +4.7200e+01, +4.2977e+01, -4.5868e+04
 +6.7007e-02, +9.7131e+00, +3.4921e+01, +8.3272e+00, +6.6266e+01, -4.5170e+04
 +7.6924e+00, +4.3525e+00, +9.6757e+00, +1.8644e+01, +7.2577e+01, -4.2227e+04
 +3.7629e+00, +1.1804e+00, +2.2632e+01, +3.4506e+01, +3.9332e+01, -4.0845e+04
 +9.5653e+00, +7.1557e+00, +1.5904e+01, +1.7060e+01, +4.1022e+01, -4.0356e+04
 +4.6323e+00, +1.0869e+01, +3.0825e+01, +3.8686e-01, +5.7288e+01, -4.0274e+04
 +3.3952e+00, +6.0492e+00, +3.3457e+01, +9.8931e+00, +4.6621e+01, -3.9372e+04
 +8.5120e+00, +1.1902e+01, +3.3123e+01, +1.3872e+01, +2.6710e+01, -3.8997e+04
 +5.1889e-01, +1.0131e+01, +2.9194e+01, +2.8942e+01, +2.7687e+01, -3.7544e+04
 +6.5052e+00, +1.6721e+00, +3.7053e+01, +4.8802e+01, +2.5733e+01, -3.7114e+04
 +4.4484e+00, +1.3033e+00, +1.6237e+01, +1.3080e+01, +6.0933e+01, -3.6483e+04
 +9.3814e+00, +9.5902e+00, +1.3162e+00, +2.9753e+01, +4.4666e+01, -3.6189e+04
 +1.5722e+00, +5.3853e+00, +1.1974e+01, +3.2130e+01, +4.1999e+01, -3.6175e+04
 +2.7096e+00, +5.9263e+00, +3.9852e+01, +3.1319e+01, +2.5021e+01, -3.4702e+04
 +4.3144e+00, +5.8771e+00, +2.6395e+01, +4.6426e+01, +2.8400e+01, -3.3600e+04
 +8.3282e+00, +2.3361e+00, +1.8536e+01, +2.6566e+01, +3.0354e+01, -3.0450e+04
 +4.2646e+00, +3.7377e+00, +1.6500e+00, +2.5774e+01, +6.4577e+01, -3.0333e+04
 +7.1409e+00, +1.1656e+01, +5.9132e+00, +6.7243e+00, +8.3510e+01, -3.0330e+04
 +1.7560e+00, +2.9508e+00, +2.6562e+01, +1.9436e+01, +3.8355e+01, -2.9572e+04
 +1.2045e+00, +1.0254e+01, +2.2799e+01, +7.5165e+00, +4.9288e+01, -2.6959e+04
